Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;First Review;Last Review;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month
Lista;Salamanca;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Dryer;66.0;100.0;60.0;1;0;14;1125;8;20;50;140;7;2013-11-05;2016-02-27;90.0;9.0;10.0;9.0;9.0;10.0;9.0;flexible;0.17
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;80.0;;35.0;1;0;1;180;8;18;31;196;112;2015-12-27;2017-04-03;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;7.16
Universidad;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;60.0;;;1;0;2;1125;6;15;24;112;24;2016-11-13;2017-04-03;97.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;4.9
Media Legua;Moratalaz;Apartment;Entire home/apt;8;2.0;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;110.0;100.0;50.0;6;20;3;1125;15;42;62;337;17;2015-03-16;2017-01-01;98.0;10.0;10.0;10.0;10.0;9.0;10.0;strict;0.68
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;80.0;;;2;15;3;1125;9;39;64;339;11;2016-10-08;2017-04-03;88.0;10.0;10.0;10.0;10.0;9.0;9.0;moderate;1.8
Guindalera;Salamanca;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials;19.0;;;1;17;3;365;0;5;35;294;36;2013-09-17;2016-09-13;85.0;8.0;9.0;10.0;9.0;9.0;9.0;strict;0.83
Palacio;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hair dryer,Iron;97.0;;10.0;1;0;3;31;0;0;6;62;4;2016-01-03;2016-05-23;95.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.26
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49;53.0;100.0;15.0;1;18;2;1125;0;0;0;6;1;2017-01-18;2017-01-18;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.37
Sol;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Washer,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;58.0;90.0;20.0;1;0;1;1125;4;11;22;99;282;2013-08-12;2017-03-30;94.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;6.33
Recoletos;Salamanca;Apartment;Entire home/apt;4;2.5;2.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Doorman Entry;250.0;300.0;90.0;1;0;5;1125;3;4;12;184;4;2016-09-21;2017-03-01;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.6
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;4.0;Real Bed;TV,Wireless Internet,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron;57.0;300.0;10.0;4;10;3;1125;3;7;16;87;17;2016-10-01;2017-03-27;95.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.68
Trafalgar;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Heating,Washer,Essentials,24-hour check-in,Hangers;60.0;;;1;0;2;1125;8;14;44;319;9;2016-09-21;2017-03-26;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.35
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;70.0;128.0;24.0;2;10;2;1125;9;26;52;143;11;2016-10-25;2017-04-03;93.0;10.0;10.0;10.0;10.0;10.0;9.0;flexible;1.99
Pacífico;Retiro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Family/kid friendly,Washer,Essentials;90.0;;;1;0;2;28;0;0;6;281;11;2015-10-05;2016-11-28;84.0;9.0;9.0;8.0;9.0;8.0;8.0;moderate;0.6
Numancia;Puente de Vallecas;Apartment;Private room;1;0.5;1.0;2.0;Real Bed;TV,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Hair dryer,Iron;24.0;299.0;20.0;1;5;5;1125;10;40;70;345;58;2013-05-13;2017-03-04;97.0;10.0;10.0;10.0;10.0;9.0;10.0;strict;1.22
El Viso;Chamartín;House;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Washer,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Iron,Laptop friendly workspace;35.0;;;1;0;1;1125;0;0;0;97;0;;;;;;;;;;flexible;
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;45.0;;10.0;1;5;1;1125;10;16;46;321;2;2016-05-24;2017-02-23;70.0;8.0;8.0;5.0;7.0;9.0;7.0;moderate;0.19
Almagro;Chamberí;Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;69.0;200.0;15.0;2;15;2;60;11;27;49;324;64;2015-05-19;2017-03-30;92.0;10.0;9.0;10.0;9.0;10.0;9.0;strict;2.78
Almagro;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;39.0;;15.0;1;0;3;1125;3;20;50;325;13;2016-10-15;2017-04-04;91.0;9.0;8.0;10.0;10.0;10.0;9.0;moderate;2.22
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer,Essentials,Hangers;55.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;;;flexible;
Bellas Vistas;Tetuán;House;Private room;1;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Pets allowed,Breakfast,Heating,Washer,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;25.0;;;1;0;1;1125;26;55;85;360;0;;;;;;;;;;moderate;
Acacias;Arganzuela;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;55.0;;25.0;1;0;2;1125;2;8;31;306;34;2016-02-10;2017-02-26;92.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;2.41
Sol;Centro;Apartment;Private room;1;5.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;23.0;200.0;;1;0;4;1125;0;0;10;10;1;2016-07-11;2016-07-11;80.0;10.0;10.0;10.0;8.0;10.0;8.0;strict;0.11
Universidad;Centro;House;Entire home/apt;2;2.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer;100.0;200.0;20.0;1;0;3;1125;21;51;76;351;11;2014-07-10;2015-06-29;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.33
Guindalera;Salamanca;Apartment;Private room;4;2.0;1.0;4.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron;19.0;;;1;18;1;365;10;39;69;344;3;2016-05-30;2017-01-01;87.0;10.0;9.0;10.0;9.0;9.0;9.0;strict;0.29
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;145.0;;70.0;1;0;3;1125;24;54;84;359;0;;;;;;;;;;strict;
Cortes;Centro;Dorm;Private room;2;1.5;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,First aid kit,Essentials,Shampoo,Hair dryer,Iron;50.0;;15.0;1;15;2;1125;9;39;69;344;60;2014-10-12;2017-02-11;89.0;9.0;9.0;9.0;9.0;10.0;9.0;strict;1.98
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron;60.0;;;2;10;4;1125;6;24;54;140;2;2017-03-20;2017-03-28;90.0;9.0;8.0;9.0;9.0;10.0;10.0;moderate;2.0
Universidad;Centro;Condominium;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron;44.0;;20.0;1;0;1;20;5;19;43;318;36;2016-06-21;2017-03-28;85.0;9.0;9.0;9.0;10.0;10.0;9.0;strict;3.7
Palacio;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;60.0;150.0;;1;0;2;1125;8;19;43;315;41;2016-03-30;2017-03-27;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;3.28
Embajadores;Centro;Other;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Heating,Washer,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;47.0;;20.0;2;0;2;1125;14;39;69;114;11;2016-11-06;2017-03-30;96.0;10.0;9.0;10.0;10.0;10.0;9.0;moderate;2.14
Universidad;Centro;House;Shared room;1;1.0;1.0;1.0;Real Bed;Wireless Internet,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_50;23.0;;;1;0;1;1125;0;0;0;8;0;;;;;;;;;;flexible;
Palacio;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;55.0;;10.0;1;0;2;1125;2;2;9;9;1;2017-03-19;2017-03-19;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0
Estrella;Retiro;Apartment;Private room;2;1.0;1.0;3.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Gym,Pets live on this property,Elevator in building,Family/kid friendly,Essentials,Shampoo;20.0;;;1;0;1;1125;16;46;76;166;30;2016-05-08;2017-03-12;81.0;9.0;7.0;9.0;10.0;9.0;8.0;flexible;2.68
Justicia;Centro;Apartment;Private room;2;3.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Washer,Hangers;25.0;;15.0;1;5;10;1125;0;0;6;48;0;;;;;;;;;;strict;
Universidad;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Cable TV,Wireless Internet,Air conditioning,Wheelchair accessible,Pets allowed,Elevator in building,Hot tub,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;89.0;250.0;25.0;1;0;2;1125;2;3;9;209;1;2016-05-15;2016-05-15;80.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.09
Sol;Centro;Apartment;Entire home/apt;3;2.0;2.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Hangers,Hair dryer,Iron;90.0;150.0;30.0;1;0;2;1125;0;0;0;97;56;2015-07-05;2016-12-04;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.61
Embajadores;Centro;House;Private room;1;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;34.0;;5.0;1;0;1;20;0;0;0;0;2;2016-12-05;2017-03-13;100.0;9.0;10.0;10.0;10.0;9.0;10.0;flexible;0.48
Moscardó;Usera;Apartment;Entire home/apt;2;1.0;2.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;50.0;;10.0;1;0;2;1125;14;32;51;307;17;2016-03-20;2017-02-26;90.0;10.0;9.0;10.0;10.0;9.0;9.0;strict;1.32
Gaztambide;Chamberí;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Doorman,Pets live on this property,Dog(s),Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials;30.0;;;1;0;1;1125;26;56;86;361;11;2015-03-14;2017-03-26;93.0;10.0;9.0;10.0;10.0;10.0;9.0;flexible;0.44
Imperial;Arganzuela;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pets live on this property,Cat(s),Elevator in building,Buzzer/wireless intercom,Heating,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;25.0;;5.0;1;0;1;3;0;0;0;0;0;;;;;;;;;;strict;
Cortes;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Pets allowed,Buzzer/wireless intercom,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;42.0;;;1;0;1;1125;30;60;90;365;8;2015-06-01;2016-09-22;85.0;8.0;8.0;9.0;9.0;10.0;8.0;strict;0.35
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;2;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;90.0;300.0;85.0;1;0;5;1125;12;42;72;163;0;;;;;;;;;;strict;
Castellana;Salamanca;Bed & Breakfast;Private room;2;1.5;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Doorman,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;31.0;;;1;22;1;1125;12;12;25;176;13;2016-11-29;2017-03-30;94.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;2.98
Bellas Vistas;Tetuán;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;20.0;;10.0;1;8;3;30;9;33;44;262;1;2017-03-19;2017-03-24;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer;75.0;;;1;0;3;1125;0;0;0;218;0;;;;;;;;;;moderate;
Sol;Centro;Apartment;Entire home/apt;8;1.5;3.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox;159.0;;25.0;2;15;1;1125;9;26;47;322;6;2017-03-07;2017-04-05;100.0;9.0;10.0;10.0;10.0;10.0;10.0;strict;5.45
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_50;26.0;;;1;0;2;15;4;4;7;70;81;2015-06-02;2016-09-19;93.0;9.0;9.0;10.0;10.0;10.0;10.0;strict;3.59
Aluche;Latina;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo;19.0;;;1;7;2;1125;6;6;6;102;26;2016-01-05;2017-02-15;94.0;10.0;10.0;10.0;10.0;9.0;9.0;strict;1.7
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Washer,Carbon monoxide detector,Essentials,Hangers,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;35.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;;;flexible;
Palomeras Bajas;Puente de Vallecas;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;Internet,Wireless Internet,Kitchen,Free parking on premises,Smoking allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;23.0;;5.0;1;8;1;1125;9;39;69;323;32;2016-02-28;2017-03-27;90.0;9.0;10.0;10.0;9.0;8.0;9.0;flexible;2.36
Palacio;Centro;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating;90.0;;20.0;1;0;1;1125;0;0;0;0;0;;;;;;;;;;flexible;
Universidad;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Breakfast,Elevator in building,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;55.0;150.0;20.0;2;5;1;1125;6;20;45;135;19;2016-11-25;2017-03-26;98.0;9.0;10.0;10.0;10.0;10.0;10.0;moderate;4.22
Cármenes;Latina;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Essentials,Hangers,Iron;15.0;;7.0;1;0;1;1125;22;52;82;357;5;2015-10-15;2016-12-20;72.0;7.0;8.0;8.0;7.0;4.0;4.0;strict;0.28
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,Hangers,Hair dryer;104.0;150.0;30.0;2;15;2;1125;18;40;61;336;5;2016-09-18;2017-03-23;96.0;10.0;10.0;9.0;9.0;10.0;9.0;strict;0.74
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;125.0;200.0;50.0;1;0;3;1125;5;7;8;216;35;2015-03-29;2017-03-27;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.42
Lista;Salamanca;Bed & Breakfast;Private room;2;2.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Carbon monoxide detector,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;80.0;;;1;0;2;1125;23;53;83;358;1;2016-05-18;2016-05-18;;;;;;;;flexible;0.09
Bellas Vistas;Tetuán;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Elevator in building,Heating,Essentials,Hair dryer,Iron,translation missing: en.hosting_amenity_49;29.0;;;1;13;1;1125;29;59;89;364;0;;;;;;;;;;flexible;
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;78.0;300.0;39.0;2;0;2;20;8;25;46;150;43;2015-03-16;2017-04-03;99.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.71
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Breakfast,Buzzer/wireless intercom,Heating,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;30.0;;9.0;1;0;1;7;4;24;52;327;56;2016-09-05;2017-03-27;95.0;10.0;10.0;10.0;10.0;10.0;9.0;moderate;7.78
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;60.0;150.0;30.0;2;15;3;1125;1;22;52;52;34;2016-02-15;2017-04-01;99.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;2.43
Recoletos;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Air conditioning,Kitchen,Heating,Essentials;60.0;;;1;0;1;1125;7;7;7;20;0;;;;;;;;;;flexible;
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Self Check-In,Lockbox;50.0;;20.0;2;8;3;90;4;17;17;270;70;2014-12-08;2017-03-20;92.0;10.0;10.0;10.0;10.0;9.0;9.0;moderate;2.46
Justicia;Centro;Apartment;Entire home/apt;6;2.0;1.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;65.0;200.0;30.0;2;15;1;1125;5;27;52;327;56;2016-04-25;2017-04-06;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;4.81
Moscardó;Usera;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Washer,Hangers,Iron,Laptop friendly workspace;60.0;;;1;0;2;1125;7;13;37;310;56;2015-11-29;2017-03-19;96.0;10.0;10.0;10.0;10.0;9.0;10.0;strict;3.38
